doc_id	passage_type	passage_offset	annot_id	gene	go-term	goevidence	type	sent_offset	sent_length	text	gene_eid	go_id
12213836	front	0	12213836_1	cdc-14	cytokinesis	NONE	GOA	0	89	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo	173945	GO:0000910
12213836	abstract	90	12213836_2	cdc-14	embryo development ending in birth or egg hatching	NONE	GOA	604	193	Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality.	173945	GO:0009792
12213836	abstract	90	12213836_3	cdc-14	cytokinesis	NONE	GOA	798	124	We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles.	173945	GO:0000910
12213836	abstract	90	12213836_4	cdc-14	spindle midzone assembly involved in mitosis	NONE	GOA	923	154	In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized.	173945	GO:0051256
12213836	abstract	90	12213836_5	cdc-14	regulation of protein localization	NONE	GOA	923	154	In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized.	173945	GO:0032880
12213836	abstract	90	12213836_6	cdc-14	spindle midzone	NONE	GOA	1078	93	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase.	173945	GO:0051233
12213836	abstract	90	12213836_7	cdc-14	midbody	NONE	GOA	1078	93	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase.	173945	GO:0030496
12213836	abstract	90	12213836_8	zen-4	spindle midzone	NONE	GOA	1078	208	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization.	177374	GO:0051233
12213836	abstract	90	12213836_9	zen-4	midbody	NONE	GOA	1078	208	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization.	177374	GO:0030496
12213836	abstract	90	12213836_10	zen-4	regulation of protein localization	NONE	GOA	1078	208	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization.	177374	GO:0032880
12213836	abstract	90	12213836_11	cdc-14	regulation of protein localization	NONE	GOA	1078	208	CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization.	173945	GO:0032880
12213836	abstract	90	12213836_12	cdc-14	spindle midzone assembly involved in mitosis	NONE	GOA	1287	140	These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.	173945	GO:0051256
12213836	abstract	90	12213836_13	cdc-14	cytokinesis	NONE	GOA	1287	140	These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.	173945	GO:0000910
12213836	paragraph	7800	12213836_14	cdc-14	embryo development ending in birth or egg hatching	NONE	GOA	8223	178	Of all candidate MEN/SIN components analyzed here, only the depletion of CeCDC-14, the C. elegans homologue of the S. cerevisiae Cdc14p phosphatase, produced embryonic lethality.	173945	GO:0009792
