pmid	title	Gene	gene_eid	start_offset	end_offset	abstract
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	CeCDC-14	173945	648	656	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	Cdc14p	850585	733	739	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	Clp1	854424	741	745	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	CeCDC-14	173945	812	820	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	CeCDC-14	173945	952	960	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	CeCDC-14	173945	1079	1087	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	ZEN-4	177374	1213	1218	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12213836	The CeCDC-14 phosphatase is required for cytokinesis in the Caenorhabditis elegans embryo.	CDC14	173945	1316	1321	In all eukaryotic organisms, the physical separation of two nascent cells must be coordinated with chromosome segregation and mitotic exit. In Saccharomyces cerevisiae and Schizosaccharomyces pombe this coordination depends on a number of genes that cooperate in intricate regulatory pathways termed mitotic exit network and septum initiation network, respectively. Here we have explored the function of potentially homologous genes in a metazoan organism, Caenorhabditis elegans, using RNA-mediated interference. Of all the genes tested, only depletion of CeCDC-14, the C. elegans homologue of the budding yeast dual-specificity phosphatase Cdc14p (Clp1/Flp1p in fission yeast), caused embryonic lethality. We show that CeCDC-14 is required for cytokinesis but may be dispensable for progression of the early embryonic cell cycles. In response to depletion of CeCDC-14, embryos fail to establish a central spindle, and several proteins normally found at this structure are mislocalized. CeCDC-14 itself localizes to the central spindle in anaphase and to the midbody in telophase. It colocalizes with the mitotic kinesin ZEN-4, and the two proteins depend on each other for correct localization. These findings identify the CDC14 phosphatase as an important regulator of central spindle formation and cytokinesis in a metazoan organism.
12707312	CSC-1: a subunit of the Aurora B kinase complex that binds to the survivin-like protein BIR-1 and the incenp-like protein ICP-1.	CSC-1	175006	0	5	The Aurora B kinase complex is a critical regulator of chromosome segregation and cytokinesis. In Caenorhabditis elegans, AIR-2 (Aurora B) function requires ICP-1 (Incenp) and BIR-1 (Survivin). In various systems, Aurora B binds to orthologues of these proteins. Through genetic analysis, we have identified a new subunit of the Aurora B kinase complex, CSC-1. C. elegans embryos depleted of CSC-1, AIR-2, ICP-1, or BIR-1 have identical phenotypes. CSC-1, BIR-1, and ICP-1 are interdependent for their localization, and all are required for AIR-2 localization. In vitro, CSC-1 binds directly to BIR-1. The CSC-1/BIR-1 complex, but not the individual subunits, associates with ICP-1. CSC-1 associates with ICP-1, BIR-1, and AIR-2 in vivo. ICP-1 dramatically stimulates AIR-2 kinase activity. This activity is not stimulated by CSC-1/BIR-1, suggesting that these two subunits function as targeting subunits for AIR-2 kinase.
12707312	CSC-1: a subunit of the Aurora B kinase complex that binds to the survivin-like protein BIR-1 and the incenp-like protein ICP-1.	BIR-1	179597	88	93	The Aurora B kinase complex is a critical regulator of chromosome segregation and cytokinesis. In Caenorhabditis elegans, AIR-2 (Aurora B) function requires ICP-1 (Incenp) and BIR-1 (Survivin). In various systems, Aurora B binds to orthologues of these proteins. Through genetic analysis, we have identified a new subunit of the Aurora B kinase complex, CSC-1. C. elegans embryos depleted of CSC-1, AIR-2, ICP-1, or BIR-1 have identical phenotypes. CSC-1, BIR-1, and ICP-1 are interdependent for their localization, and all are required for AIR-2 localization. In vitro, CSC-1 binds directly to BIR-1. The CSC-1/BIR-1 complex, but not the individual subunits, associates with ICP-1. CSC-1 associates with ICP-1, BIR-1, and AIR-2 in vivo. ICP-1 dramatically stimulates AIR-2 kinase activity. This activity is not stimulated by CSC-1/BIR-1, suggesting that these two subunits function as targeting subunits for AIR-2 kinase.
